station_id,station_name
00003,Aachen
00005,Aachen-Merzbrück
00020,Abtsgmünd-Untergröningen
00029,Adelsdorf (Kläranlage)
00044,Großenkneten
00046,Aholfing
00047,Ahorn-Eubigheim
00053,Ahrensfelde
00071,Albstadt-Badkap
00073,Aldersbach-Kriestorf
00078,Alfhausen
00087,Alperstedt
00091,Alsfeld-Eifa
00098,Altastenberg
00102,Leuchtturm Alte Weser
00103,Hagelstadt
00118,Altendorf
00124,"Bibra, Bad-Altenroda"
00125,Altenstadt
00130,Altertheim-Oberaltertheim
00131,Geringswalde-Altgeringswalde
00142,Altomünster-Maisbrunn
00146,Altusried-Muthmannshofen
00150,Alzey
00151,Amberg-Unterammersricht
00152,Amelinghausen
00154,Amerang-Pfaffing
00158,Amöneburg-Rüdigheim
00161,Andernach
00164,Angermünde
00167,Anklam
00175,Ansbach
00183,Arkona
00191,Arnstein-Müdesheim
00194,Arolsen-Landau
00198,Artern
00200,Lauperath-Scheidchen
00205,Aschau-Stein
00211,Aßlar Klein-Altenstädten
00213,Sargstedt
00216,Attendorn-Neulisternohl
00217,Attenkam
00222,Aue
00227,Aufseß-Hochstahl
00232,Augsburg
00240,Aura im Sinngrund
00246,Axien
00257,Baden-Baden-Geroldsau
00258,Baden-Oos
00259,Müllheim
00269,Baiersbronn-Mitteltal
00275,Balderschwang
00279,Baltmannsweiler-Hohengehren
00282,Bamberg
00287,Walternienburg-Ronney
00292,Barnstorf
00294,Barsinghausen-Hohenbostel
00298,Barth
00301,Bartholomä
00303,Baruth
00305,Basepohl
00310,Battenberg-Hof Karlsburg
00312,Baumgarten
00314,"Kubschütz, Kr. Bautzen"
00316,Bayerfeld-Steckweiler -Schmalfelderhof
00320,Heinersreuth-Vollhof
00323,Bechhofen/Mittelfranken -Voggendorf
00326,Beckum-Unterberg
00330,Oberzent-Beerfelden
00336,Hörselberg-Hainich-Behringen
00342,Belm
00348,Bendorf
00357,"Bentheim, Bad"
00359,Beratzhausen
00360,Berching
00361,Berchtesgaden (KKst)
00368,Bergen
00377,"Bergzabern, Bad"
00378,Berka
00379,"Berka, Bad (Flugplatz)"
00384,Berkheim
00389,"Berleburg, Bad-Arfeld"
00390,"Berleburg, Bad-Stünzel"
00399,Berlin-Alexanderplatz
00400,Berlin-Buch
00403,Berlin-Dahlem (FU)
00410,Berlin-Kaniswall
